gp_plansp_kod;gp_group_rank;gp_group_shortname_rus;gp_group_rank_shortname_rus
100U;01;дюХжо;01.дюХжо
100U;02;соа;02.соа
100U;03;жл;03.жл
100U;04;дцщ;04.дцщ
100U;05;он;05.он
100U;06;дяон;06.дяон
100U;07;суд;07.суд
100U;08;жд;08.жд
100U;09;жпнот;09.жпнот
100U;10;гХя;10.гХя
100U;11;на;11.на
100U;12;щн;12.щн
100U;13;йюс;13.йюс
100U;14;дцл;14.дцл
100U;15;длрн;15.длрн
100U;16;доаХнр;16.доаХнр
100U;17;сан;17.сан
100U;18;жцп;18.жцп
100U;19;цс;19.цс
100U;20;рд;20.рд
100U;21;схр;21.схр
100U;22;сйя;22.сйя
100U;23;спра;23.спра
100U;24;жцря;24.жцря
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
